Cartera,Pesos,Rentabilidad anualizada,Volatilidad anualizada,Sharpe,Max Drawdown
"('CAT', 'GS', 'MSFT')",[0.313 0.307 0.38 ],0.6910977670952125,0.20416717241405286,3.2625115939028646,-0.09548252047492664
"('CAT', 'MSFT', 'NKE')",[0.444 0.368 0.188],0.6311929398378174,0.19112233455298078,3.171753532917292,-0.08013602087331352
"('GS', 'MSFT', 'NKE')",[0.489 0.341 0.17 ],0.6882072114956465,0.21258116920321035,3.1197834407509264,-0.09815357112263826
"('AXP', 'CAT', 'MSFT')",[0.077 0.474 0.449],0.6383688802587517,0.20030019613895236,3.062248026123974,-0.08638781114909193
"('GS', 'HD', 'MSFT')",[0.539 0.12  0.341],0.6669837246293708,0.2099390333674833,3.0579531320677473,-0.11475559992716491
"('AXP', 'GS', 'MSFT')",[0.06  0.534 0.406],0.7016460873299848,0.22187149626050698,3.0497206659458014,-0.11923763648452947
"('DOW', 'GS', 'MSFT')",[0.056 0.54  0.404],0.7015838003746663,0.22190498192917027,3.048979768244341,-0.11747873071648873
"('DIS', 'GS', 'MSFT')",[0.054 0.553 0.393],0.696810634084963,0.2204523196135045,3.0474192118403507,-0.11939574491497981
"('CAT', 'HD', 'MSFT')",[0.513 0.062 0.425],0.6200398794028927,0.19537717673999894,3.045595649049381,-0.08301583608976291
"('CAT', 'DIS', 'MSFT')",[0.514 0.039 0.447],0.6331457099049026,0.19972666792949306,3.044889879801071,-0.0838937157490164
