Cartera,Pesos,Rentabilidad anualizada,Volatilidad anualizada,Sharpe,Max Drawdown
"('CAT', 'MSFT', 'NKE')",[0.768 0.122 0.109],0.6863162391740834,0.2462697516269668,2.685332789776804,-0.11387839235827629
"('CAT', 'DOW', 'GS')",[0.198 0.    0.802],0.8054001509111155,0.29123615457736185,2.6796128799448753,-0.13436551612903094
"('AXP', 'CAT', 'GS')",[0.    0.198 0.802],0.8054238536000973,0.29125978029070926,2.6794769014147732,-0.13437492469563622
"('CAT', 'GS', 'UNH')",[0.198 0.802 0.   ],0.8054572824254337,0.2912931303979651,2.6792848885903067,-0.13438819522745105
"('CAT', 'GS', 'HD')",[0.198 0.802 0.   ],0.8054603950870557,0.2912962375068868,2.6792669955738924,-0.13438943096310518
"('CAT', 'GS', 'TRV')",[0.198 0.802 0.   ],0.8054620531913614,0.29129789277685736,2.679257463043916,-0.13439008924053927
"('CAT', 'GS', 'MCD')",[0.198 0.802 0.   ],0.8054639493562007,0.2912997858056996,2.679246561055762,-0.13439084203390453
"('CAT', 'GS', 'MMM')",[0.198 0.802 0.   ],0.8054700081239452,0.2913058353059147,2.6792117202332557,-0.13439324744747533
"('CAT', 'GS', 'PG')",[0.198 0.802 0.   ],0.8054750803863803,0.29131090069165066,2.679182545292064,-0.13439526124232437
"('CAT', 'GS', 'JNJ')",[0.197 0.803 0.   ],0.8054935650250241,0.2913293670704654,2.6790761702929933,-0.13440260032073637
"('CAT', 'DIS', 'GS')",[0.197 0.    0.803],0.8055131588348766,0.2913489531755842,2.6789633198527163,-0.13441038027448235
